ASMID,SPECIES,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCA_030868995.1_CMEL01,Colletotrichum melonis,Col 31,PRJNA348398,1209925,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum melonis,F7283B1E
GCA_027406025.1_ASM2740602v1,Colletotrichum musae,GZ23,PRJNA872318,5464,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum musae,F38E7A32
GCA_014235935.1_CMUS01,Colletotrichum musicola,LFN0074,PRJNA577394,2175873,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum musicola,F5046C53
GCF_030913465.1_Colna1,Colletotrichum navitas,CBS 125086,PRJNA262371,681940,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum navitas,FC37A262
GCA_036785495.1_ASM3678549v1,Colletotrichum neosansevieriae,CBS 139918,PRJNA1009234,1663520,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum neosansevieriae,F91BFB42
GCA_026319125.1_ASM2631912v1,Colletotrichum noveboracense,PMBrms-1,PRJNA858866,2664923,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum noveboracense,F2EE82A6
GCA_026319135.1_ASM2631913v1,Colletotrichum nupharicola,CBS470,PRJNA858866,1215361,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum nupharicola,FEA035B1
GCA_029169025.1_ASM2916902v1,Colletotrichum nymphaeae,JS-0361,PRJNA784994,306554,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum nymphaeae,FDE3BB6D
GCA_000350065.2_KSG_Corb_v2,Colletotrichum orbiculare MAFF 240422,104-T,PRJNA171217,1213857,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum orbiculare,F197885B
GCF_001831195.1_CORC01,Colletotrichum orchidophilum,IMI 309357,PRJNA342923,1209926,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum orchidophilum,F7963813
GCF_030867605.1_CPAR01,Colletotrichum paranaense,IMI 384185,PRJNA350896,1914294,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum paranaense,FD4A6545
GCF_030913505.1_Colph1,Colletotrichum phormii,CBS 102054,PRJNA333354,359342,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum phormii,F3278E82
GCA_014235945.1_CPLU01,Colletotrichum plurivorum,LFN00145,PRJNA577396,2175906,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum plurivorum,F1AEF5A0
GCA_001563125.1_CSAL01,Colletotrichum salicis,CBS 607.94,PRJNA238477,1209931,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum salicis,FBF0758C
GCA_026260285.1_Colsa1.clean.fa,Colletotrichum sansevieriae,FPH2021-6,PRJNA877595,328473,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sansevieriae,F0F7551A
GCF_011075155.1_ASM1107515v1,Colletotrichum scovillei,TJNH1,PRJNA605574,1209932,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum scovillei,FBF7F37C
GCA_006783085.1_ASM678308v1,Colletotrichum shisoi,PG-2018a,PRJNA431477,2078593,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum shisoi,F9C5672E
GCF_013390195.1_ASM1339019v1,Colletotrichum siamense,Cg363,PRJNA476648,690259,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum siamense,F34253C3
GCA_004367935.1_ASM436793v1,Colletotrichum sidae,CBS 518.97,PRJNA445190,1347389,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sidae,FFD21450
GCA_001563135.1_CSIM01,Colletotrichum simmondsii,CBS122122,PRJNA239224,703756,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum simmondsii,F22C6CAA
GCA_014235955.1_CSOJ01,Colletotrichum sojae,LFN0009,PRJNA577398,2175907,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sojae,F66A4EBC
GCA_030867255.1_Colso1,Colletotrichum somersetense,CBS 131599,PRJNA262441,1500509,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum somersetense,FB988ED5
GCA_009801095.1_ASM980109v1,Colletotrichum sp. COLG25,COLG25,PRJNA554995,2596970,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. COLG25,F7427243
GCA_009800995.1_ASM980099v1,Colletotrichum sp. COLG31,COLG31,PRJNA554995,2596971,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. COLG31,FE475999
GCA_014705495.1_ASM1470549v1,Colletotrichum sp. HC278,HC278,PRJNA625663,2776170,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. HC278,FBA6D15B
GCA_014705525.1_ASM1470552v1,Colletotrichum sp. HC292,HC292,PRJNA625663,2776171,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. HC292,FB5628D0
GCA_003122705.1_ASM312270v1,Colletotrichum sp. JS-367,JS-367,PRJNA368787,1938904,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. JS-367,F32D3341
GCA_025328335.1_ASM2532833v1,Colletotrichum sp. SAR 10_65,SAR 10_65,PRJNA728692,2838794,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. SAR 10_65,FECBD927
GCA_028639655.1_ASM2863965v1,Colletotrichum sp. SAR 10_66,SAR 10_66,PRJNA728692,2838795,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. SAR 10_66,FE898B50
GCA_025327165.1_ASM2532716v1,Colletotrichum sp. SAR 10_70,SAR 10_70,PRJNA728692,2838796,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. SAR 10_70,F6A6A25C
GCA_025327135.1_ASM2532713v1,Colletotrichum sp. SAR 10_71,SAR 10_71,PRJNA728692,2838797,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. SAR 10_71,F9FFA095
GCA_025327155.1_ASM2532715v1,Colletotrichum sp. SAR 10_75,SAR 10_75,PRJNA728692,2838798,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. SAR 10_75,FFB838DD
GCA_025327145.1_ASM2532714v1,Colletotrichum sp. SAR 10_76,SAR 10_76,PRJNA728692,2838799,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. SAR 10_76,FBF3DB90
GCA_025330015.1_ASM2533001v1,Colletotrichum sp. SAR 10_77,SAR 10_77,PRJNA728692,2838800,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. SAR 10_77,F46CAC72
GCA_025327125.1_ASM2532712v1,Colletotrichum sp. SAR 10_86,SAR 10_86,PRJNA728692,2838801,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. SAR 10_86,FBE065D2
GCA_025329375.1_ASM2532937v1,Colletotrichum sp. SAR 10_96,SAR 10_96,PRJNA728692,2838802,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. SAR 10_96,F1C75CF5
GCA_025329385.1_ASM2532938v1,Colletotrichum sp. SAR 10_98,SAR 10_98,PRJNA728692,2838803,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. SAR 10_98,FB322DC9
GCA_028654355.1_ASM2865435v1,Colletotrichum sp. SAR 10_99,SAR 10_99,PRJNA728692,2838804,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. SAR 10_99,F046E6EB
GCA_025328985.1_ASM2532898v1,Colletotrichum sp. SAR11_239,SAR11_239,PRJNA728692,2838810,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. SAR11_239,F8048B14
GCA_025328625.1_ASM2532862v1,Colletotrichum sp. SAR11_240,SAR11_240,PRJNA728692,2838811,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. SAR11_240,FF3FB44D
GCA_025328355.1_ASM2532835v1,Colletotrichum sp. SAR11_57,SAR11_57,PRJNA728692,2838812,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. SAR11_57,F5696A53
GCA_025328345.1_ASM2532834v1,Colletotrichum sp. SAR11_59,SAR11_59,PRJNA728692,2838813,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp. SAR11_59,F4702B1C
GCF_022836535.1_Cspa_1.0,Colletotrichum spaethianum,MAFF 239500,PRJDB11870,700344,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum spaethianum,F0C79DD1
GCA_004366825.1_ASM436682v1,Colletotrichum spinosum,CBS 515.97,PRJNA445190,1347390,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum spinosum,F9E98992
GCA_020631755.1_DDPSC_Csu_GS1001_v1,Colletotrichum sublineola,CsGL1,PRJNA659716,1173701,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sublineola,FB18985F
GCA_036851105.1_ASM3685110v1,Colletotrichum tabaci,YC1,PRJNA962315,1209068,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum tabaci,FB8CBCBB
GCF_030869305.1_CTAM01,Colletotrichum tamarilloi,Tom-12,PRJNA348678,1209934,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum tamarilloi,F4426EAA
GCA_005350895.1_ASM535089v1,Colletotrichum tanaceti,BRIP57314,PRJNA421029,1306861,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum tanaceti,F2EEDFC4
GCA_014705045.1_ASM1470504v1,Colletotrichum theobromicola,CF75,PRJNA625663,912112,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum theobromicola,F5644656
GCA_022836555.1_Ctol_6.0,Colletotrichum tofieldiae,MAFF 712333,PRJDB11870,708197,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum tofieldiae,FA78BB71
GCA_004367215.1_KSG_Cotri_v1,Colletotrichum trifolii,543-2,PRJNA506861,5466,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum trifolii,F2119E6B
GCA_027406125.1_ASM2740612v1,Colletotrichum tropicale,HN32,PRJNA872318,912113,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum tropicale,F4EC2F60
GCA_025962755.1_ASM2596275v1,Colletotrichum tropicicola,FJ4,PRJNA889704,1185846,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum tropicicola,F3238142
GCA_014235925.2_CTRU02v2,Colletotrichum truncatum,CMES1059,PRJNA563581,5467,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum truncatum,F9DD71A2
GCA_020226115.1_ASM2022611v1,Colletotrichum viniferum,CvYL2a,PRJNA714705,1131913,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum viniferum,FA9FA173
GCA_030867305.1_Colzo1,Colletotrichum zoysiae,MAFF 238573,PRJNA262217,1216348,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum zoysiae,FCB62869
GCA_013420905.1_ASM1342090v1,Collybia mongolica,X42,PRJNA623488,1966363,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Clitocybaceae,Collybia,Collybia mongolica,FB01ECA8
GCA_015584075.1_Lepnud1,Collybia nuda,CBS 247.69,PRJNA334366,64659,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Clitocybaceae,Collybia,Collybia nuda,FEA9CF8B
GCA_037014335.1_ASM3701433v1,Collybia sordida,Lds1,PRJNA1061211,123925,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Clitocybaceae,Collybia,Collybia sordida,F27FA784
GCA_003313185.1_ASM331318v1,Collybia sp. MG36,MG36,PRJNA454572,2175971,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Clitocybaceae,Collybia,Collybia sp. MG36,F0EF5729
GCA_013368555.1_LU_GYC_1.0,Collybiopsis confluens,CBS 406.79,PRJNA496462,2823264,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Omphalotaceae,Collybiopsis,Collybiopsis confluens,FE4E4FF3
GCA_000827265.1_Gymlu1,Collybiopsis luxurians FD-317 M1,FD-317 M1,PRJNA68535,944289,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Omphalotaceae,Collybiopsis,Collybiopsis luxurians,F38509D9
GCA_001566745.1_Conidiobolus_coronatus_NRRL28638,Conidiobolus coronatus NRRL 28638,NRRL 28638,PRJNA67455,796925,fungi,Zoopagomycota,,Entomophthoromycetes,,Entomophthorales,Ancylistaceae,Conidiobolus,Conidiobolus coronatus,FDBD982D
GCA_000697335.1_ConIncB7586-1.0,Conidiobolus incongruus B7586,B7586,PRJNA211906,1357681,fungi,Zoopagomycota,,Entomophthoromycetes,,Entomophthorales,Ancylistaceae,Conidiobolus,Conidiobolus incongruus,FBB08B1E
GCA_030770535.1_ASM3077053v1,Conidiobolus obscurus,7217,PRJNA982416,164418,fungi,Zoopagomycota,,Entomophthoromycetes,,Entomophthorales,Ancylistaceae,Conidiobolus,Conidiobolus obscurus,F67353AC
GCA_003019895.1_Coniella_lustricola_v1.0,Coniella lustricola,B22-T-1,PRJNA334659,2025994,dikarya,Ascomycota,,Sordariomycetes,,Diaporthales,Schizoparmaceae,Coniella,Coniella lustricola,F53C7A8E
GCA_040437665.1_ASM4043766v1,Coniella vitis,GP1,PRJNA1003275,2033813,dikarya,Ascomycota,,Sordariomycetes,,Diaporthales,Schizoparmaceae,Coniella,Coniella vitis,F9099B0D
GCA_002794785.1_PSUO.v3,Coniferiporia sulphurascens,FP133613_A_Sp,PRJNA380036,175648,dikarya,Basidiomycota,,Agaricomycetes,,Hymenochaetales,Hymenochaetaceae,Coniferiporia,Coniferiporia sulphurascens,F15F070D
GCA_024195185.1_ASM2419518v1,Coniferiporia weirii,30910,PRJNA804238,135589,dikarya,Basidiomycota,,Agaricomycetes,,Hymenochaetales,Hymenochaetaceae,Coniferiporia,Coniferiporia weirii,FF814B5B
GCA_007388115.1_STR0027621,Coniochaeta endophytica,IL0111,PRJNA526083,2546457,dikarya,Ascomycota,,Sordariomycetes,,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta endophytica,F6442BDC
GCA_030052785.1_ASM3005278v1,Coniochaeta hoffmannii,EXF-13287,PRJNA854363,91930,dikarya,Ascomycota,,Sordariomycetes,,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta hoffmannii,F3B0BCBA
GCA_001879275.1_Conlig_v1.0,Coniochaeta ligniaria NRRL 30616,NRRL 30616,PRJNA223108,1408157,dikarya,Ascomycota,,Sordariomycetes,,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta ligniaria,F65C6083
GCA_007388105.1_STR0027789,Coniochaeta prunicola,STE-U 6107,PRJNA526083,744408,dikarya,Ascomycota,,Sordariomycetes,,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta prunicola,FAFF5CF5
GCA_003635345.1_ASM363534v1,Coniochaeta pulveracea,CAB683,PRJNA473398,177199,dikarya,Ascomycota,,Sordariomycetes,,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta pulveracea,F4C01E51
GCA_009194965.1_Conioc1,Coniochaeta sp. 2T2.1,2T2.1,PRJNA250595,1571157,dikarya,Ascomycota,,Sordariomycetes,,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta sp. 2T2.1,F11458C3
GCA_023628855.1_ASM2362885v1,Coniochaeta sp. PK30-01,PK30-01,PRJNA833221,2939518,dikarya,Ascomycota,,Sordariomycetes,,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta sp. PK30-01,FF9D6057
GCA_021432605.1_ConPMI546,Coniochaeta sp. PMI_546,PMI_546,PRJNA234867,1450552,dikarya,Ascomycota,,Sordariomycetes,,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta sp. PMI_546,F7DEF038
GCA_023628895.1_ASM2362889v1,Coniochaeta sp. PT30-03-2,PT30-03-2,PRJNA833221,2939519,dikarya,Ascomycota,,Sordariomycetes,,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta sp. PT30-03-2,F10D1B41
GCF_000271625.1_Conpu1,Coniophora puteana RWD-64-598 SS2,RWD-64-598 SS2,PRJNA53977,741705,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Coniophoraceae,Coniophora,Coniophora puteana,F63F2E64
GCF_000281105.1_Coni_apol_CBS100218_V1,Coniosporium apollinis CBS 100218,CBS 100218,PRJNA157061,1168221,dikarya,Ascomycota,,Dothideomycetes,,,,Coniosporium,Coniosporium apollinis,F650D06E
GCA_033119265.1_ASM3311926v1,Coniosporium uncinatum,CCFEE 5737,PRJNA666634,93489,dikarya,Ascomycota,,Dothideomycetes,,,,Coniosporium,Coniosporium uncinatum,F7AA0998
GCA_025742365.1_Cglycines_Pg-43,Coniothyrium glycines,Pg-43,PRJNA849601,1077358,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Coniothyriaceae,Coniothyrium,Coniothyrium glycines,F963356E
GCA_032433595.1_UCR_Cluteorostrata_1.0,Conoideocrella luteorostrata,ARSEF 14590,PRJNA980380,1105319,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Conoideocrella,Conoideocrella luteorostrata,F54A0BF8
GCA_027627275.1_Coprinellus_aureogranulatus_MPG-14n_reassembly,Coprinellus aureogranulatus,MPG-14N,PRJNA858204,752674,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus aureogranulatus,F7151793
GCA_951394405.1_gfCopMica1.1,Coprinellus micaceus,,PRJEB58952;PRJEB62080,71717,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus micaceus,FD4864D8
GCF_000182895.1_CC3,Coprinopsis cinerea okayama7#130,okayama7#130,PRJNA1447;PRJNA176382,240176,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis cinerea,F47CF5A1
GCA_004369085.1_Copmar1,Coprinopsis marcescibilis,CBS 121175,PRJNA247837,230819,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis marcescibilis,FD5968E4
GCA_020736565.1_Copph3,Coprinopsis sp. MPI-PUGE-AT-0042,MPI-PUGE-AT-0042,PRJNA347200,2826081,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis sp. MPI-PUGE-AT-0042,FFDFC078
GCA_900156845.1_ASM90015684v1,Coprinopsis strossmayeri,,PRJEB18786,76940,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis strossmayeri,F7CD101D
GCA_034638255.1_WZU_Copr_2.3,Coprinus comatus,Tebai39,PRJNA1029306,56187,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Coprinus,Coprinus comatus,FE119F1F
GCA_030685235.1_CopCBS38678_1,Copromyces sp. CBS 386.78,CBS 386.78,PRJNA953078,252197,dikarya,Ascomycota,,Sordariomycetes,,Sordariales,Sordariaceae,Copromyces,Copromyces sp. CBS 386.78,FC9DC93D
GCA_028828415.1_ASM2882841v1,Cordyceps cateniannulata,FRD 24,PRJNA899136,983339,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps cateniannulata,F820262E
GCA_002968875.1_ASM296887v1,Cordyceps cicadae,CC02,PRJNA313127,218633,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps cicadae,F5B5E78B
GCA_030779685.1_ASM3077968v1,Cordyceps farinosa,MBC 401,PRJNA879330,89141,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps farinosa,F8FB1DB2
GCF_001636725.1_ISF_1.0,Cordyceps fumosorosea ARSEF 2679,ARSEF 2679,PRJNA72737,1081104,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps fumosorosea,F0D82A64
GCA_036850795.1_ASM3685079v1,Cordyceps javanica,F084,PRJNA601038,43265,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps javanica,F7A5A4F4
GCF_000225605.1_CmilitarisCM01_v01,Cordyceps militaris CM01,CM01,PRJNA41129,983644,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps militaris,F742CF12
GCA_003025255.1_ASM302525v1,Cordyceps pruinosa,KACC 44470,PRJNA314175,129524,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps pruinosa,F7D0EC1D
GCA_002591385.1_Hirsu2,Cordyceps sp. RAO-2017,1346,PRJNA388689,2004951,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps sp. RAO-2017,F56B5128
GCA_025583755.1_ASM2558375v1,Cordyceps tenuipes,YF17002,PRJNA875507,45847,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps tenuipes,FC0242BB
GCA_019137255.1_ASM1913725v1,Corinectria fuckeliana,CBS 125109,PRJNA593731,930093,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Corinectria,Corinectria fuckeliana,F9856183
GCA_020543525.1_Ct001_29,Coriolopsis trogii,Ct001,PRJNA747173;PRJNA750075,76130,dikarya,Basidiomycota,,Agaricomycetes,,Polyporales,Polyporaceae,Coriolopsis,Coriolopsis trogii,FBB97BC4
GCA_033296725.1_Corno1,Corynascus novoguineensis,CBS 359.72,PRJNA441720,1126955,dikarya,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Corynascus,Corynascus novoguineensis,F395298B
GCA_022059125.1_ASM2205912v1,Corynespora cassiicola,ZM170522,PRJNA694745,59586,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Corynesporascaceae,Corynespora,Corynespora cassiicola,F5F0AF9E
GCA_019202945.1_ASM1920294v1,Corynespora olivacea,CBS 114450,PRJNA721456,132096,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Corynesporascaceae,Corynespora,Corynespora olivacea,F3BA29D6
GCA_014925845.1_Crafun1,Crassisporium funariophilum,CBS 144457,PRJNA370017,1954473,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Crassisporiaceae,Crassisporium,Crassisporium funariophilum,F3A3088A
GCA_001179765.1_Mycena-l100.fa,Crepidotus sp. BD-2015,,PRJEB8570,1617101,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Crepidotaceae,Crepidotus,Crepidotus sp. BD-2015,F30DBBC5
GCA_015657495.1_Crevar1,Crepidotus variabilis,CBS 506.95,PRJNA410303,179855,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Crepidotaceae,Crepidotus,Crepidotus variabilis,F770AC3A
GCA_030581755.1_ASM3058175v1,Crinitomyces ghanaensis,NRRL YB-1486T,PRJNA736342,135453,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Trichomonascaceae,Crinitomyces,Crinitomyces ghanaensis,FCBB52DE
GCA_021029105.1_Crison1,Cristinia sonorae,KKN 215,PRJNA363661,1940300,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Stephanosporaceae,Cristinia,Cristinia sonorae,FC1CE944
GCA_038089315.1_SWK335-Crocinoboletus-laetissimus,Crocinoboletus aff. laetissimus,TRTC168521,PRJNA1022813,3095545,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Crocinoboletus,Crocinoboletus aff. laetissimus,FF3B8D13
GCA_000464975.1_Cron_com_1.0,Cronartium comandrae C4,C4,PRJNA190832,1301515,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Coleosporiaceae,Cronartium,Cronartium comandrae,F0969518
GCA_015951145.1_Croqu1,Cronartium quercuum f. sp. fusiforme G11,G11,PRJNA67371,708437,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Coleosporiaceae,Cronartium,Cronartium quercuum,F0220420
GCA_000500245.1_Cro_ribi_1.0,Cronartium ribicola 11-2,11-2,PRJNA190829,1301521,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Coleosporiaceae,Cronartium,Cronartium ribicola,F085045E
GCA_036936985.1_ASM3693698v1,Crucibulum cyathiforme,FLAS-F-66527,PRJNA930910,2950008,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Nidulariaceae,Crucibulum,Crucibulum cyathiforme,FD59B8A0
GCA_004379715.1_Crula1,Crucibulum laeve,CBS 166.37,PRJNA333385,68775,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Nidulariaceae,Crucibulum,Crucibulum laeve,F6F26273
GCA_036937015.1_ASM3693701v1,Crucibulum parvulum,FLAS-F-66525,PRJNA930910,2810475,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Nidulariaceae,Crucibulum,Crucibulum parvulum,F79981D4
